,Iteration,Gates,Bays,Station_Dist,Fleet,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_Speed,Truck_HoS
335,7,1,1,50,50,180000.0,1.0,4.328,1.088,7,35,45,14
336,7,1,1,50,75,189000.0,1.0,5.09,1.09,7,35,45,14
337,7,1,1,50,100,189000.0,1.0,5.406,1.106,7,35,45,14
338,7,1,1,50,125,189000.0,1.0,5.502,1.072,7,35,45,14
339,7,1,1,50,150,189000.0,1.0,5.473,1.089,7,35,45,14
340,7,1,1,50,175,189000.0,1.0,5.887,1.086,7,35,45,14
341,7,1,1,50,200,189000.0,1.0,5.658,1.085,7,35,45,14
342,8,1,1,50,10,180000.0,2.0,0.538,1.671,7,35,45,14
343,8,1,1,50,25,180000.0,1.111,3.743,0.915,7,35,45,14
344,8,1,1,50,50,189000.0,1.0,4.913,0.843,7,35,45,14
345,8,1,1,50,75,180000.0,1.053,4.937,0.903,7,35,45,14
346,8,1,1,50,100,189000.0,1.0,5.287,0.829,7,35,45,14
347,8,1,1,50,125,189000.0,1.0,5.64,0.846,7,35,45,14
348,8,1,1,50,150,189000.0,1.0,5.837,0.843,7,35,45,14
349,8,1,1,50,175,189000.0,1.0,5.737,0.842,7,35,45,14
350,8,1,1,50,200,189000.0,1.0,5.767,0.836,7,35,45,14
351,9,1,1,50,10,171000.0,1.9,0.348,2.487,7,35,45,14
352,9,1,1,50,25,180000.0,1.111,3.317,1.41,7,35,45,14
353,9,1,1,50,50,180000.0,1.0,4.986,1.328,7,35,45,14
354,9,1,1,50,75,180000.0,1.0,5.115,1.303,7,35,45,14
355,9,1,1,50,100,180000.0,1.0,5.565,1.29,7,35,45,14
356,9,1,1,50,125,180000.0,1.0,5.566,1.314,7,35,45,14
357,9,1,1,50,150,180000.0,1.0,5.636,1.298,7,35,45,14
358,9,1,1,50,175,180000.0,1.0,5.618,1.322,7,35,45,14
359,9,1,1,50,200,180000.0,1.0,5.775,1.334,7,35,45,14
360,10,1,1,50,10,162000.0,1.8,0.406,2.287,7,35,45,14
361,10,1,1,50,25,189000.0,1.167,3.247,1.331,7,35,45,14
362,10,1,1,50,50,189000.0,1.0,4.679,1.155,7,35,45,14
363,10,1,1,50,75,189000.0,1.0,5.442,1.145,7,35,45,14
364,10,1,1,50,100,189000.0,1.0,5.38,1.12,7,35,45,14
365,10,1,1,50,125,189000.0,1.0,5.443,1.123,7,35,45,14
366,10,1,1,50,150,189000.0,1.0,5.634,1.151,7,35,45,14
367,10,1,1,50,175,189000.0,1.0,5.853,1.162,7,35,45,14
