,Iteration,Gates,Bays,Station_Dist,Truck_HoS,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_Speed,Fleet
163,27,1,1,25,15,207000.0,1.045,5.158,0.606,7,35,45,50
164,27,1,1,25,16,225000.0,1.042,5.58,0.59,7,35,45,50
165,27,1,1,25,17,234000.0,1.083,5.672,0.643,7,35,45,50
166,27,1,1,25,18,252000.0,1.037,6.293,0.602,7,35,45,50
167,27,1,1,25,24,252000.0,1.037,6.176,0.61,7,35,45,50
168,28,1,1,25,14,180000.0,1.053,4.356,0.52,7,35,45,50
169,28,1,1,25,15,198000.0,1.048,4.97,0.552,7,35,45,50
170,28,1,1,25,16,216000.0,1.0,5.745,0.555,7,35,45,50
171,28,1,1,25,17,243000.0,1.038,6.047,0.558,7,35,45,50
172,28,1,1,25,18,252000.0,1.037,5.971,0.55,7,35,45,50
173,28,1,1,25,24,252000.0,1.077,6.045,0.576,7,35,45,50
174,29,1,1,25,14,189000.0,1.0,4.682,0.729,7,35,45,50
175,29,1,1,25,15,207000.0,1.045,4.937,0.74,7,35,45,50
176,29,1,1,25,16,216000.0,1.0,5.496,0.712,7,35,45,50
177,29,1,1,25,17,234000.0,1.04,5.598,0.742,7,35,45,50
178,29,1,1,25,18,261000.0,1.036,6.106,0.708,7,35,45,50
179,29,1,1,25,24,252000.0,1.037,6.602,0.734,7,35,45,50
180,0,1,1,50,14,180000.0,1.0,4.558,1.158,7,35,45,50
181,0,1,1,50,15,198000.0,1.0,4.592,1.111,7,35,45,50
182,0,1,1,50,16,216000.0,1.0,5.186,1.079,7,35,45,50
183,0,1,1,50,17,234000.0,1.0,5.847,1.042,7,35,45,50
184,0,1,1,50,18,252000.0,1.037,5.652,1.064,7,35,45,50
185,0,1,1,50,24,252000.0,1.037,5.597,1.069,7,35,45,50
186,1,1,1,50,14,180000.0,1.053,4.291,1.141,7,35,45,50
187,1,1,1,50,15,189000.0,1.05,4.73,1.136,7,35,45,50
188,1,1,1,50,16,207000.0,1.045,5.58,1.156,7,35,45,50
189,1,1,1,50,17,225000.0,1.0,6.018,1.224,7,35,45,50
190,1,1,1,50,18,243000.0,1.08,5.772,1.36,7,35,45,50
191,1,1,1,50,24,243000.0,1.038,6.283,1.296,7,35,45,50
192,2,1,1,50,14,180000.0,1.0,4.385,1.17,7,35,45,50
193,2,1,1,50,15,198000.0,1.0,5.032,1.229,7,35,45,50
194,2,1,1,50,16,207000.0,1.0,5.369,1.251,7,35,45,50
195,2,1,1,50,17,234000.0,1.0,5.493,1.226,7,35,45,50
196,2,1,1,50,18,234000.0,1.0,5.928,1.223,7,35,45,50
197,2,1,1,50,24,234000.0,1.0,6.439,1.225,7,35,45,50
198,3,1,1,50,14,180000.0,1.053,4.798,1.394,7,35,45,50
199,3,1,1,50,15,189000.0,1.0,5.125,1.313,7,35,45,50
200,3,1,1,50,16,207000.0,1.045,5.564,1.334,7,35,45,50
201,3,1,1,50,17,225000.0,1.042,5.308,1.377,7,35,45,50
202,3,1,1,50,18,252000.0,1.077,6.001,1.357,7,35,45,50
203,3,1,1,50,24,252000.0,1.037,6.097,1.337,7,35,45,50
204,4,1,1,50,14,189000.0,1.05,4.673,1.002,7,35,45,50
205,4,1,1,50,15,207000.0,1.095,4.791,1.013,7,35,45,50
206,4,1,1,50,16,207000.0,1.095,4.883,1.065,7,35,45,50
207,4,1,1,50,17,234000.0,1.083,5.707,0.997,7,35,45,50
208,4,1,1,50,18,243000.0,1.038,6.476,1.009,7,35,45,50
209,4,1,1,50,24,243000.0,1.08,5.809,1.057,7,35,45,50
210,5,1,1,50,14,189000.0,1.0,4.504,0.93,7,35,45,50
211,5,1,1,50,15,189000.0,1.0,4.701,1.032,7,35,45,50
212,5,1,1,50,16,225000.0,1.0,5.578,0.969,7,35,45,50
213,5,1,1,50,17,234000.0,1.0,5.811,0.976,7,35,45,50
214,5,1,1,50,18,243000.0,1.038,6.045,1.038,7,35,45,50
215,5,1,1,50,24,243000.0,1.038,5.7,1.048,7,35,45,50
216,6,1,1,50,14,180000.0,1.0,4.179,1.365,7,35,45,50
217,6,1,1,50,15,198000.0,1.0,5.191,1.308,7,35,45,50
218,6,1,1,50,16,216000.0,1.0,5.22,1.278,7,35,45,50
219,6,1,1,50,17,225000.0,1.0,5.841,1.282,7,35,45,50
220,6,1,1,50,18,243000.0,1.038,5.774,1.365,7,35,45,50
221,6,1,1,50,24,243000.0,1.0,6.419,1.347,7,35,45,50
222,7,1,1,50,14,189000.0,1.0,4.499,0.867,7,35,45,50
223,7,1,1,50,15,198000.0,1.0,4.512,0.875,7,35,45,50
224,7,1,1,50,16,207000.0,1.0,5.209,0.871,7,35,45,50
225,7,1,1,50,17,225000.0,1.0,5.847,0.901,7,35,45,50
226,7,1,1,50,18,252000.0,1.0,6.543,0.898,7,35,45,50
227,7,1,1,50,24,252000.0,1.0,6.33,0.893,7,35,45,50
228,8,1,1,50,14,180000.0,1.053,4.063,1.194,7,35,45,50
229,8,1,1,50,15,207000.0,1.045,4.633,1.131,7,35,45,50
230,8,1,1,50,16,216000.0,1.043,5.196,1.166,7,35,45,50
231,8,1,1,50,17,225000.0,1.0,6.063,1.106,7,35,45,50
232,8,1,1,50,18,243000.0,1.038,6.166,1.143,7,35,45,50
233,8,1,1,50,24,252000.0,1.077,6.096,1.213,7,35,45,50
234,9,1,1,50,14,189000.0,1.0,4.489,1.26,7,35,45,50
235,9,1,1,50,15,198000.0,1.0,5.069,1.276,7,35,45,50
236,9,1,1,50,16,207000.0,1.0,5.565,1.28,7,35,45,50
237,9,1,1,50,17,225000.0,1.042,5.732,1.348,7,35,45,50
238,9,1,1,50,18,252000.0,1.0,6.338,1.25,7,35,45,50
239,9,1,1,50,24,252000.0,1.0,6.05,1.253,7,35,45,50
240,10,1,1,50,14,180000.0,1.053,4.266,0.891,7,35,45,50
241,10,1,1,50,15,207000.0,1.045,5.358,0.946,7,35,45,50
242,10,1,1,50,16,225000.0,1.087,5.515,0.994,7,35,45,50
243,10,1,1,50,17,225000.0,1.087,5.489,1.022,7,35,45,50
244,10,1,1,50,18,243000.0,1.08,6.346,0.995,7,35,45,50
245,10,1,1,50,24,243000.0,1.08,6.528,0.991,7,35,45,50
246,11,1,1,50,14,189000.0,1.0,4.587,1.134,7,35,45,50
247,11,1,1,50,15,207000.0,1.0,4.714,1.131,7,35,45,50
248,11,1,1,50,16,216000.0,1.0,5.662,1.106,7,35,45,50
249,11,1,1,50,17,225000.0,1.0,5.321,1.089,7,35,45,50
250,11,1,1,50,18,252000.0,1.037,6.242,1.135,7,35,45,50
251,11,1,1,50,24,252000.0,1.037,5.934,1.129,7,35,45,50
252,12,1,1,50,14,189000.0,1.0,4.78,1.1,7,35,45,50
253,12,1,1,50,15,207000.0,1.045,4.8,1.146,7,35,45,50
254,12,1,1,50,16,207000.0,1.0,5.318,1.102,7,35,45,50
255,12,1,1,50,17,225000.0,1.042,5.448,1.166,7,35,45,50
256,12,1,1,50,18,252000.0,1.077,6.211,1.135,7,35,45,50
257,12,1,1,50,24,252000.0,1.077,6.207,1.151,7,35,45,50
258,13,1,1,50,14,189000.0,1.0,4.617,1.31,7,35,45,50
259,13,1,1,50,15,198000.0,1.0,4.889,1.286,7,35,45,50
260,13,1,1,50,16,216000.0,1.0,4.798,1.244,7,35,45,50
261,13,1,1,50,17,234000.0,1.0,6.252,1.214,7,35,45,50
262,13,1,1,50,18,234000.0,1.0,6.657,1.253,7,35,45,50
263,13,1,1,50,24,243000.0,1.0,6.166,1.24,7,35,45,50
264,14,1,1,50,14,180000.0,1.0,4.416,1.049,7,35,45,50
265,14,1,1,50,15,198000.0,1.0,4.643,1.102,7,35,45,50
266,14,1,1,50,16,216000.0,1.0,5.35,1.072,7,35,45,50
267,14,1,1,50,17,225000.0,1.087,5.456,1.172,7,35,45,50
268,14,1,1,50,18,252000.0,1.077,6.005,1.13,7,35,45,50
269,14,1,1,50,24,252000.0,1.077,5.938,1.125,7,35,45,50
270,15,1,1,50,14,189000.0,1.0,4.902,1.201,7,35,45,50
271,15,1,1,50,15,189000.0,1.05,4.837,1.271,7,35,45,50
272,15,1,1,50,16,216000.0,1.043,4.879,1.252,7,35,45,50
273,15,1,1,50,17,225000.0,1.042,5.822,1.342,7,35,45,50
274,15,1,1,50,18,234000.0,1.04,5.873,1.319,7,35,45,50
275,15,1,1,50,24,243000.0,1.038,5.564,1.352,7,35,45,50
276,16,1,1,50,14,180000.0,1.0,4.622,1.212,7,35,45,50
277,16,1,1,50,15,189000.0,1.05,4.899,1.267,7,35,45,50
278,16,1,1,50,16,216000.0,1.043,5.306,1.268,7,35,45,50
279,16,1,1,50,17,225000.0,1.042,5.281,1.29,7,35,45,50
280,16,1,1,50,18,252000.0,1.037,6.32,1.234,7,35,45,50
281,16,1,1,50,24,252000.0,1.077,5.712,1.264,7,35,45,50
282,17,1,1,50,14,189000.0,1.0,4.876,0.983,7,35,45,50
283,17,1,1,50,15,189000.0,1.0,4.567,1.045,7,35,45,50
284,17,1,1,50,16,225000.0,1.0,5.286,0.97,7,35,45,50
285,17,1,1,50,17,234000.0,1.0,5.77,1.028,7,35,45,50
286,17,1,1,50,18,243000.0,1.0,6.318,1.023,7,35,45,50
287,17,1,1,50,24,234000.0,1.0,6.357,1.006,7,35,45,50
