,Gates,Bays,Station_Dist,Gate_Value,Gate_OFC,Bay_Value,Bay_OFC,Speed_Value,Speed_OFC,Fleet_Value,Fleet_OFC,Best_Intrv,Best_Value,Best_OFC
249,3,12,150,10.0,0.9219000000000002,42.5,0.9117,75.0,1.2521999999999995,125.0,1.9389000000000003,Transportation Fleet,125.0,1.9389000000000003
250,3,12,200,10.0,0.7656,,,75.0,1.083,150.0,1.8708,Transportation Fleet,150.0,1.8708
251,3,12,300,15.0,0.5963999999999999,,,75.0,0.828,175.0,1.6646999999999998,Transportation Fleet,175.0,1.6646999999999998
252,3,13,25,8.0,1.9428,17.5,2.2686,55.0,2.0235,125.0,2.25,Terminal Bay Time,17.5,2.2686
253,3,13,50,7.0,1.6268999999999996,42.5,1.5288000000000002,75.0,1.8758999999999997,150.0,2.2482,Transportation Fleet,150.0,2.2482
254,3,13,100,10.0,1.1595000000000002,27.5,1.2216,75.0,1.5237000000000005,150.0,2.1852,Transportation Fleet,150.0,2.1852
255,3,13,150,10.0,0.9282,15.0,1.0338,75.0,1.2473999999999998,150.0,2.0892000000000004,Transportation Fleet,150.0,2.0892000000000004
256,3,13,200,10.0,0.7595999999999999,15.0,0.8429999999999997,75.0,1.0766999999999998,150.0,1.9767,Transportation Fleet,150.0,1.9767
257,3,13,300,15.0,0.5915999999999999,,,75.0,0.8283000000000003,175.0,1.7765999999999995,Transportation Fleet,175.0,1.7765999999999995
258,3,14,25,6.0,2.0025,27.5,2.1114,75.0,2.1432,100.0,2.25,Transportation Fleet,100.0,2.25
259,3,14,50,7.0,1.6364999999999994,37.5,1.5969000000000002,75.0,1.8924,125.0,2.2497,Transportation Fleet,125.0,2.2497
260,3,14,100,10.0,1.155,42.5,1.1373,75.0,1.5051,150.0,2.2365,Transportation Fleet,150.0,2.2365
261,3,14,150,10.0,0.9204,32.5,0.9648,75.0,1.2368999999999997,175.0,2.1708,Transportation Fleet,175.0,2.1708
262,3,14,200,15.0,0.7415999999999999,,,75.0,1.0668,150.0,2.0709000000000004,Transportation Fleet,150.0,2.0709000000000004
263,3,14,300,15.0,0.5973,,,75.0,0.8402999999999999,175.0,1.8693,Transportation Fleet,175.0,1.8693
264,3,15,25,8.0,1.9392,35.0,2.0007,65.0,2.1576,75.0,2.25,Transportation Fleet,75.0,2.25
265,3,15,50,6.0,1.6481999999999997,42.5,1.5375,75.0,1.8903,100.0,2.25,Transportation Fleet,100.0,2.25
266,3,15,100,9.0,1.1664,42.5,1.1556,75.0,1.4994,150.0,2.25,Transportation Fleet,150.0,2.25
267,3,15,150,9.0,0.9426,37.5,0.9393,75.0,1.2585,175.0,2.2245,Transportation Fleet,175.0,2.2245
268,3,15,200,10.0,0.7758,,,75.0,1.0779,175.0,2.1387,Transportation Fleet,175.0,2.1387
269,3,15,300,15.0,0.594,,,75.0,0.8391000000000001,200.0,1.9452000000000005,Transportation Fleet,200.0,1.9452000000000005
