,Iteration,Gates,Bays,Station_Dist,Truck_Speed,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_HoS,Fleet
172,28,1,1,25,65,189000.0,1.0,4.508,0.476,7,35,14,50
173,28,1,1,25,75,189000.0,1.105,4.453,0.438,7,35,14,50
174,29,1,1,25,25,189000.0,1.0,4.943,0.757,7,35,14,50
175,29,1,1,25,35,189000.0,1.05,4.248,0.567,7,35,14,50
176,29,1,1,25,45,198000.0,1.0,4.79,0.42,7,35,14,50
177,29,1,1,25,55,189000.0,1.05,4.743,0.363,7,35,14,50
178,29,1,1,25,65,189000.0,1.05,4.574,0.309,7,35,14,50
179,29,1,1,25,75,189000.0,1.105,4.4,0.279,7,35,14,50
180,0,1,1,50,25,162000.0,1.0,4.678,1.98,7,35,14,50
181,0,1,1,50,35,171000.0,1.0,4.411,1.416,7,35,14,50
182,0,1,1,50,45,180000.0,1.0,4.265,1.099,7,35,14,50
183,0,1,1,50,55,180000.0,1.0,4.742,0.941,7,35,14,50
184,0,1,1,50,65,180000.0,1.0,4.599,0.822,7,35,14,50
185,0,1,1,50,75,189000.0,1.0,4.879,0.709,7,35,14,50
186,1,1,1,50,25,180000.0,1.0,4.75,2.081,7,35,14,50
187,1,1,1,50,35,189000.0,1.0,4.403,1.447,7,35,14,50
188,1,1,1,50,45,189000.0,1.0,4.507,1.155,7,35,14,50
189,1,1,1,50,55,189000.0,1.0,4.623,0.941,7,35,14,50
190,1,1,1,50,65,189000.0,1.0,4.759,0.79,7,35,14,50
191,1,1,1,50,75,189000.0,1.0,4.689,0.701,7,35,14,50
192,2,1,1,50,25,180000.0,1.0,5.036,1.426,7,35,14,50
193,2,1,1,50,35,180000.0,1.0,4.194,1.03,7,35,14,50
194,2,1,1,50,45,180000.0,1.053,4.117,0.858,7,35,14,50
195,2,1,1,50,55,180000.0,1.0,4.438,0.699,7,35,14,50
196,2,1,1,50,65,189000.0,1.105,4.22,0.627,7,35,14,50
197,2,1,1,50,75,189000.0,1.05,4.862,0.512,7,35,14,50
198,3,1,1,50,25,180000.0,1.053,4.4,1.914,7,35,14,50
199,3,1,1,50,35,189000.0,1.05,4.475,1.402,7,35,14,50
200,3,1,1,50,45,189000.0,1.05,4.652,1.147,7,35,14,50
201,3,1,1,50,55,189000.0,1.05,4.336,0.971,7,35,14,50
202,3,1,1,50,65,198000.0,1.1,4.667,0.818,7,35,14,50
203,3,1,1,50,75,198000.0,1.1,4.392,0.711,7,35,14,50
204,4,1,1,50,25,180000.0,1.0,4.813,2.122,7,35,14,50
205,4,1,1,50,35,189000.0,1.0,4.583,1.707,7,35,14,50
206,4,1,1,50,45,189000.0,1.0,5.154,1.326,7,35,14,50
207,4,1,1,50,55,198000.0,1.1,4.027,1.157,7,35,14,50
208,4,1,1,50,65,198000.0,1.1,4.341,0.98,7,35,14,50
209,4,1,1,50,75,189000.0,1.0,4.506,0.825,7,35,14,50
210,5,1,1,50,25,189000.0,1.05,4.302,1.876,7,35,14,50
211,5,1,1,50,35,189000.0,1.05,3.996,1.496,7,35,14,50
212,5,1,1,50,45,189000.0,1.0,4.919,1.099,7,35,14,50
213,5,1,1,50,55,189000.0,1.0,4.71,0.927,7,35,14,50
214,5,1,1,50,65,189000.0,1.0,4.536,0.777,7,35,14,50
215,5,1,1,50,75,189000.0,1.05,4.533,0.705,7,35,14,50
216,6,1,1,50,25,171000.0,1.0,4.863,1.674,7,35,14,50
217,6,1,1,50,35,189000.0,1.0,4.696,1.224,7,35,14,50
218,6,1,1,50,45,180000.0,1.0,4.894,0.977,7,35,14,50
219,6,1,1,50,55,189000.0,1.05,4.821,0.822,7,35,14,50
220,6,1,1,50,65,189000.0,1.0,4.843,0.662,7,35,14,50
221,6,1,1,50,75,189000.0,1.05,4.507,0.654,7,35,14,50
222,7,1,1,50,25,171000.0,1.0,4.97,2.419,7,35,14,50
223,7,1,1,50,35,180000.0,1.0,4.359,1.783,7,35,14,50
224,7,1,1,50,45,189000.0,1.0,4.675,1.398,7,35,14,50
225,7,1,1,50,55,189000.0,1.0,4.766,1.128,7,35,14,50
226,7,1,1,50,65,189000.0,1.0,4.507,0.951,7,35,14,50
227,7,1,1,50,75,189000.0,1.0,4.333,0.832,7,35,14,50
228,8,1,1,50,25,180000.0,1.0,4.639,1.786,7,35,14,50
229,8,1,1,50,35,189000.0,1.0,4.738,1.291,7,35,14,50
230,8,1,1,50,45,189000.0,1.0,4.677,1.01,7,35,14,50
231,8,1,1,50,55,189000.0,1.0,4.436,0.819,7,35,14,50
232,8,1,1,50,65,189000.0,1.0,4.623,0.718,7,35,14,50
233,8,1,1,50,75,189000.0,1.105,4.219,0.667,7,35,14,50
234,9,1,1,50,25,180000.0,1.0,4.597,1.774,7,35,14,50
235,9,1,1,50,35,189000.0,1.0,4.69,1.397,7,35,14,50
236,9,1,1,50,45,189000.0,1.05,4.331,1.229,7,35,14,50
237,9,1,1,50,55,189000.0,1.05,4.266,0.985,7,35,14,50
