,Gates,Bays,Station_Dist,Parameter,Value,p-value,DES_Mono,Avg_OFC
5769,2,10,25,Gate,10,1.5615012519959028e-54,True,1.2141000000000004
5770,2,10,25,Gate,15,1.9224645301320677e-35,True,0.8423999999999999
5771,2,10,25,Bay,15.0,0.014437318578361672,True,1.7385
5772,2,10,25,Bay,17.5,0.5552604235173173,False,1.7043000000000001
5773,2,10,25,Bay,20.0,0.019943522676237738,True,1.7118000000000004
5774,2,10,25,Bay,22.5,0.7121315703161568,False,1.6844999999999999
5775,2,10,25,Bay,25.0,0.04213697592571583,True,1.6893
5776,2,10,25,Bay,27.5,0.2806066127777085,True,1.6611
5777,2,10,25,Bay,30.0,1.0,True,1.6461
5778,2,10,25,Bay,32.5,0.18156089802146108,True,1.6461
5779,2,10,25,Bay,35.0,4.5750323521282526e-10,True,1.6283999999999996
5780,2,10,25,Bay,37.5,4.743708975195154e-10,True,1.5465000000000004
5781,2,10,25,Bay,40.0,3.39283221524478e-08,True,1.4630999999999998
5782,2,10,25,Bay,42.5,8.907213653082274e-12,True,1.3920000000000001
5783,2,10,25,Speed,35,0.00968606807480495,True,1.5977999999999997
5784,2,10,25,Speed,45,0.0030820235134625664,True,1.6328999999999998
5785,2,10,25,Speed,55,0.8243726792166538,True,1.6355999999999997
5786,2,10,25,Speed,65,0.10018341055432964,True,1.6547999999999996
5787,2,10,25,Speed,75,0.7182996478849731,True,1.6583999999999999
5788,2,10,25,HoS,15,3.035305549013831e-21,True,1.7840999999999998
5789,2,10,25,HoS,16,1.2724050068747764e-18,True,1.9434000000000002
5790,2,10,25,HoS,17,3.814262313901939e-16,True,2.0889
5791,2,10,25,HoS,18,3.350469914164652e-18,True,2.226
5792,2,10,25,Fleet,25,1.712178193951529e-47,True,1.0032
5793,2,10,25,Fleet,50,1.7078945816053458e-48,True,1.6206
5794,2,10,25,Fleet,75,9.00961610328587e-15,True,1.7463000000000004
5795,2,10,25,Fleet,100,3.185330860111038e-07,True,1.8015
5796,2,10,25,Fleet,125,0.0002271734491197783,True,1.8266999999999998
5797,2,10,25,Fleet,150,0.017510597766430692,True,1.8392999999999995
5798,2,10,25,Fleet,175,0.29462552185437707,True,1.8437999999999997
5799,2,10,25,Fleet,200,0.6080852379869306,True,1.8458999999999999
